date,open,high,low,close,volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2024-03-26 09:15,4748.4,4798.95,4748.4,4769.2,20710.0,,,
2024-03-26 09:16,4768.55,4772.4,4761.15,4761.25,23464.0,,,
2024-03-26 09:17,4761.85,4761.85,4741.5,4749.05,25669.0,,,
2024-03-26 09:18,4748.55,4770.35,4748.3,4761.95,13687.0,,,
2024-03-26 09:19,4766.05,4767.85,4760.05,4760.45,4651.0,,,
2024-03-26 09:20,4761.75,4761.75,4742.0,4756.15,16721.0,,,
2024-03-26 09:21,4754.9,4763.25,4752.0,4762.0,3037.0,,,
2024-03-26 09:22,4765.0,4771.0,4764.05,4770.0,13161.0,,,
2024-03-26 09:23,4770.0,4781.5,4770.0,4781.5,5967.0,,,
2024-03-26 09:24,4784.3,4785.75,4779.9,4780.95,2341.0,,,
2024-03-26 09:25,4780.95,4781.9,4779.9,4780.1,6471.0,,,
2024-03-26 09:26,4781.0,4781.0,4767.05,4767.05,9202.0,,,
2024-03-26 09:27,4768.6,4777.45,4766.25,4774.45,2865.0,,,
2024-03-26 09:28,4777.3,4784.0,4767.7,4775.55,2018.0,,,
2024-03-26 09:29,4775.55,4782.5,4775.1,4782.5,994.0,,,
2024-03-26 09:30,4783.45,4788.85,4776.2,4778.3,2332.0,,,
2024-03-26 09:31,4780.65,4786.45,4780.05,4782.05,1533.0,,,
2024-03-26 09:32,4783.7,4785.8,4781.6,4783.95,4407.0,,,
2024-03-26 09:33,4783.95,4785.0,4780.8,4785.0,3406.0,,,
2024-03-26 09:34,4786.45,4796.95,4785.05,4794.85,2723.0,,,
2024-03-26 09:35,4794.85,4795.0,4788.45,4793.95,1667.0,,,
2024-03-26 09:36,4792.45,4798.45,4792.0,4798.45,3797.0,,,
2024-03-26 09:37,4796.0,4801.35,4794.25,4800.0,1995.0,,,
2024-03-26 09:38,4799.85,4801.75,4797.95,4800.0,1150.0,,,
2024-03-26 09:39,4799.45,4801.1,4795.35,4799.0,1565.0,,,
2024-03-26 09:40,4799.0,4800.0,4798.2,4799.5,708.0,,,
2024-03-26 09:41,4799.95,4800.35,4798.0,4799.05,4020.0,,,
2024-03-26 09:42,4800.0,4801.8,4799.05,4801.0,979.0,,,
2024-03-26 09:43,4800.3,4801.95,4798.05,4799.7,528.0,,,
2024-03-26 09:44,4799.95,4801.1,4795.05,4801.0,2538.0,,,
2024-03-26 09:45,4801.25,4801.25,4799.95,4800.0,648.0,,,
2024-03-26 09:46,4800.7,4800.7,4797.8,4800.0,733.0,,,
2024-03-26 09:47,4800.25,4803.75,4800.05,4801.05,1102.0,,,
2024-03-26 09:48,4803.2,4807.25,4801.05,4805.05,1447.0,,,
2024-03-26 09:49,4805.05,4812.0,4805.0,4810.0,2493.0,,,
2024-03-26 09:50,4809.95,4811.85,4808.9,4811.4,778.0,,,
2024-03-26 09:51,4808.9,4810.0,4805.75,4807.45,564.0,,,
2024-03-26 09:52,4807.85,4812.55,4807.85,4810.0,1315.0,,,
2024-03-26 09:53,4810.1,4813.85,4809.6,4810.2,816.0,,,
2024-03-26 09:54,4810.3,4813.0,4810.3,4812.6,135.0,,,
2024-03-26 09:55,4813.05,4816.0,4809.0,4809.0,704.0,,,
2024-03-26 09:56,4808.1,4814.25,4808.0,4814.25,514.0,,,
2024-03-26 09:57,4812.0,4814.25,4812.0,4814.15,315.0,,,
2024-03-26 09:58,4814.25,4814.8,4812.4,4812.4,314.0,,,
2024-03-26 09:59,4812.4,4817.35,4811.4,4815.0,703.0,,,
2024-03-26 10:00,4814.9,4815.0,4810.0,4813.4,1011.0,,,
2024-03-26 10:01,4812.0,4815.0,4809.2,4815.0,2396.0,,,
2024-03-26 10:02,4815.0,4816.45,4812.15,4815.0,213.0,,,
2024-03-26 10:03,4814.9,4818.0,4814.0,4814.35,395.0,,,
2024-03-26 10:04,4814.0,4818.5,4814.0,4814.6,1303.0,,,
2024-03-26 10:05,4817.0,4817.0,4814.0,4814.0,844.0,,,
2024-03-26 10:06,4815.0,4815.0,4811.65,4814.0,883.0,,,
2024-03-26 10:07,4811.8,4813.95,4811.1,4813.0,212.0,,,
2024-03-26 10:08,4811.1,4814.0,4811.0,4812.25,341.0,,,
2024-03-26 10:09,4812.25,4813.95,4810.45,4812.8,356.0,,,
2024-03-26 10:10,4813.1,4813.1,4809.3,4810.05,1462.0,,,
2024-03-26 10:11,4813.0,4814.75,4810.85,4812.95,842.0,,,
2024-03-26 10:12,4812.95,4814.75,4812.3,4814.75,1103.0,,,
2024-03-26 10:13,4813.5,4816.9,4813.25,4815.45,4277.0,,,
2024-03-26 10:14,4815.45,4817.0,4814.55,4814.65,306.0,,,
2024-03-26 10:15,4816.9,4817.25,4814.85,4816.95,167.0,,,
2024-03-26 10:16,4815.05,4817.95,4815.05,4817.35,298.0,,,
2024-03-26 10:17,4817.35,4819.4,4811.8,4812.55,548.0,,,
2024-03-26 10:18,4814.9,4819.15,4812.3,4815.2,911.0,,,
2024-03-26 10:19,4818.15,4819.15,4817.35,4819.15,147.0,,,
2024-03-26 10:20,4817.35,4826.0,4817.35,4824.0,3018.0,,,
2024-03-26 10:21,4822.95,4823.5,4817.4,4818.75,749.0,,,
2024-03-26 10:22,4820.55,4820.55,4817.4,4818.1,57.0,,,
2024-03-26 10:23,4820.0,4823.55,4818.1,4822.15,672.0,,,
2024-03-26 10:24,4824.6,4824.6,4820.35,4821.45,623.0,,,
2024-03-26 10:25,4823.6,4824.5,4820.5,4820.6,286.0,,,
2024-03-26 10:26,4823.35,4831.2,4820.75,4828.0,1285.0,,,
2024-03-26 10:27,4831.55,4834.95,4828.8,4833.5,1276.0,,,
2024-03-26 10:28,4833.5,4837.85,4830.85,4835.0,1049.0,,,
2024-03-26 10:29,4837.85,4843.7,4835.15,4839.1,1985.0,,,
2024-03-26 10:30,4839.15,4854.45,4839.15,4853.6,9769.0,,,
2024-03-26 10:31,4855.2,4864.95,4853.5,4864.95,5463.0,,,
2024-03-26 10:32,4865.55,4876.3,4865.05,4871.25,3006.0,,,
2024-03-26 10:33,4870.0,4876.8,4870.0,4875.35,2011.0,,,
2024-03-26 10:34,4873.25,4888.65,4873.25,4888.65,1894.0,,,
2024-03-26 10:35,4888.6,4890.0,4881.15,4883.55,2373.0,,,
2024-03-26 10:36,4883.6,4883.9,4870.0,4874.65,3998.0,,,
2024-03-26 10:37,4874.65,4874.65,4863.05,4865.0,2223.0,,,
2024-03-26 10:38,4867.0,4867.0,4856.3,4862.0,2701.0,,,
2024-03-26 10:39,4861.45,4865.95,4860.2,4863.3,871.0,,,
2024-03-26 10:40,4863.4,4875.0,4863.4,4875.0,1773.0,,,
2024-03-26 10:41,4871.7,4874.8,4869.05,4874.0,3332.0,,,
2024-03-26 10:42,4875.0,4881.0,4874.8,4878.2,2158.0,,,
2024-03-26 10:43,4878.2,4887.0,4878.05,4886.1,2110.0,,,
2024-03-26 10:44,4889.0,4894.45,4887.05,4888.75,2633.0,,,
2024-03-26 10:45,4888.75,4890.9,4885.2,4889.55,853.0,,,
2024-03-26 10:46,4890.0,4891.0,4889.65,4890.7,308.0,,,
2024-03-26 10:47,4890.8,4891.0,4887.0,4891.0,2817.0,,,
2024-03-26 10:48,4891.0,4897.35,4891.0,4897.35,1125.0,,,
2024-03-26 10:49,4897.8,4898.45,4894.35,4898.45,1023.0,,,
2024-03-26 10:50,4898.45,4906.6,4898.45,4905.3,2259.0,,,
2024-03-26 10:51,4906.6,4908.7,4900.35,4902.7,2112.0,,,
2024-03-26 10:52,4902.45,4902.7,4900.05,4902.45,329.0,,,
2024-03-26 10:53,4900.1,4901.7,4874.6,4874.6,2773.0,,,
2024-03-26 10:54,4872.55,4877.0,4872.55,4875.0,1817.0,,,
2024-03-26 10:55,4875.0,4884.0,4873.55,4883.75,1107.0,,,
2024-03-26 10:56,4883.95,4884.2,4882.0,4882.0,382.0,,,
2024-03-26 10:57,4881.5,4882.45,4877.25,4880.15,520.0,,,
2024-03-26 10:58,4880.8,4883.2,4880.7,4883.15,198.0,,,
2024-03-26 10:59,4883.5,4884.85,4881.05,4884.1,367.0,,,
2024-03-26 11:00,4884.15,4888.65,4882.65,4888.65,736.0,,,
2024-03-26 11:01,4888.8,4889.2,4887.0,4888.0,439.0,,,
2024-03-26 11:02,4888.95,4888.95,4885.9,4885.9,978.0,,,
2024-03-26 11:03,4888.0,4892.5,4886.05,4892.4,592.0,,,
2024-03-26 11:04,4892.45,4898.85,4891.0,4896.3,1312.0,,,
2024-03-26 11:05,4898.0,4898.0,4894.85,4897.55,565.0,,,
2024-03-26 11:06,4897.5,4903.0,4895.35,4902.1,2198.0,,,
2024-03-26 11:07,4902.05,4902.2,4895.0,4895.0,775.0,,,
2024-03-26 11:08,4894.0,4897.55,4887.9,4897.0,4841.0,,,
2024-03-26 11:09,4896.95,4899.65,4896.0,4899.65,348.0,,,
2024-03-26 11:10,4898.0,4899.65,4896.7,4899.6,146.0,,,
2024-03-26 11:11,4899.5,4901.95,4899.0,4900.0,186.0,,,
2024-03-26 11:12,4902.0,4902.0,4896.05,4896.05,855.0,,,
2024-03-26 11:13,4898.3,4898.3,4887.6,4887.6,869.0,,,
2024-03-26 11:14,4890.95,4896.9,4890.1,4896.35,329.0,,,
2024-03-26 11:15,4896.85,4896.85,4891.0,4891.0,562.0,,,
2024-03-26 11:16,4892.9,4892.9,4888.55,4892.2,554.0,,,
2024-03-26 11:17,4892.9,4895.65,4892.2,4895.0,168.0,,,
2024-03-26 11:18,4895.0,4895.0,4893.3,4894.0,13.0,,,
2024-03-26 11:19,4894.0,4896.0,4894.0,4896.0,390.0,,,
2024-03-26 11:20,4896.0,4898.0,4895.9,4897.1,903.0,,,
2024-03-26 11:21,4897.1,4899.95,4897.1,4899.0,1213.0,,,
2024-03-26 11:22,4898.0,4899.05,4896.25,4896.25,574.0,,,
